"title","content","date","variant","images","verified","author","rating","product","url"
"Fabulous!","Oh man they are amazing! So glad I went for the better ones! Sound and feel like my perfect Apple should!","05 Jul 2020","Style: AirPods","","Verified Purchase","K","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_2?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=2"
"Hurt my ears","It makes my ears hurt so much . Noise cancellation is not what I expected from AirPod pro I am gonna return this and use my old AirPod","05 Jul 2020","Style: AirPods","","Verified Purchase","Nomin-Erdene Batbold","3.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_2?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=2"
"It falls out your ears. Even if you’re not active","Amazing all around. EXCEPT the damn things keep falling out my ear.... im tired of having to keep pushing them back in my ear. I thought it was sweat proof??","05 Jul 2020","Style: AirPods","","","Maquane Dawson","4.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_2?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=2"
"Overpriced for What you Get","The sound quality is decent. I've had charging issues with mine (only the left Airpod charges reliably) and getting in touch with Apple to resolve it has been problematic. But the quality of noise cancellation isn't that great either. I am going back to my wired, Bose QC 20: better sound quality, better noise cancelation, same price, but wired. I would rather use the wired headphones with a stupid dongle than Apple's Airpod's Pro. Don't waste your money.","05 Jul 2020","Style: AirPods","","","Claudia","2.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_2?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=2"
"Sound quality amazing","Love everything about it. I just got to get used to having cushion in my ear again. I had the first AirPods before these. Sound quality is great, that’s my favorite part so far. They came in quick like 3-4 days","05 Jul 2020","Style: AirPods","","Verified Purchase","Mariah","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_2?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=2"
"Well worth the price!","Now that I'm working from home during quarantine, I've become sick of being tethered to my laptop with a CORDED headset.  I wanted something different and the hard ear buds hurt my ears after some time.  These allow a more comfortable use without a cord.  I can walk all around my house and listen/speak during a call without having to take my laptop with me.  It even allows me to get more steps in while still being able to continue working (BONUS)!","05 Jul 2020","Style: AirPods","","Verified Purchase","Jenni Nelson","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_2?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=2"
"Growing on me.","They are growing on me  better fit than previous model. Decent sound. Good noise cancellation.","05 Jul 2020","Style: AirPods","","Verified Purchase","John H. Shivers","4.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_2?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=2"
"Sound","Like sound of product, but wish battery life was longer","05 Jul 2020","Style: AirPods","","Verified Purchase","donald m.","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_2?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=2"
"The connection on these are poor","For 250 bucks I expect it to have some decent connection while using them. Problems: They stutter so much Sometimes one AirPod loses connection and the other works Sometimes both don't even play at the same time Sometimes it doesn't even connect to anything For the price I'm paying it should have good bluetooth connection. The Noise cancellation is whatever, it clears up the audio more than cancels noise. I'm wearing them right now and I can hear the fan that's blowing on low power in my room. Also, I've had two pairs of AirPods pro, and they're both the same.","05 Jul 2020","Style: AirPods","","Verified Purchase","Alex","1.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_2?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=2"
"Worth it!","Bought a pair for and and another pair for my husband. Love them. No problems. Great battery life and sound quality.","05 Jul 2020","Style: AirPods","","Verified Purchase","Robin W.","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_2?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=2"
"Best ones by far","We both have them , its apple what more needs to be said","05 Jul 2020","Style: AirPods","","Verified Purchase","GB","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_3?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=3"
"Easy to use and is useful!","In case you don’t know sometimes the seal test doesn’t show the best pair for you. I tested the medium size tip and it says it’s good but it used to fall out sometimes. Then I decided to try the small size and it was perfect.","04 Jul 2020","Style: AirPods","","","Prabh","4.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_3?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=3"
"Clean Tight Sound.","Surprisingly good sound. Clean top end and tight low end.  Comfortable. Pricey.","04 Jul 2020","Style: AirPods","","Verified Purchase","Lightmanrt","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_3?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=3"
"Good purchase","Telephone calls are good. Not too sure noise cancelling is as great as advertised.","04 Jul 2020","Style: AirPods","","Verified Purchase","STL Girl","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_3?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=3"
"To bad Apple!!!","Don’t buy this product!!! Is so weird but The box doesn’t include the adapter to charge it, just has a case and cable (but no regular cable) you need to buy the adapter separate!!!  To bad for Apple and Amazon","04 Jul 2020","Style: AirPods","","Verified Purchase","karina","1.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_3?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=3"
"Great item","Love them...they happen to fit in my ears perfect. Easy to use.","04 Jul 2020","Style: AirPods","","Verified Purchase","Robert D. Newcomb","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_3?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=3"
"iNcredible","These iPods are just simply incredible. I wouldn’t buy any other brand. No comparison. Even on the receiving end, no one ever has a problem hearing me. Thank you.","04 Jul 2020","Style: AirPods","","Verified Purchase","Chris Egan","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_3?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=3"
"Jammin with Jesus playing Gospel on these baby’s!!!!!!!!!","Bought these for my wife and the experience was so good, heck, she bought me a pair. With noise cancellation on, my lips are moving and she can’t hear a word with me standing right next to her. Amazing. With transparency initiated the outer mic comes on and my voice is amplified so that she can hear me. Take one bud out of your ear and the music stops, put it back and the music starts...really cool. Sound Quality - depends on the device delivering the sound. Example...the base from my iPad (2017 13inch) is not as strong as with my iPhone 11. So The device matters. The buds receive and deliver great sound. With phone calls and conferencing, the quality impressed me. We love them.......but if I have any problems I’ll come back and update this review.","04 Jul 2020","Style: AirPods","","Verified Purchase","LAW","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_3?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=3"
"Can’t connect to iPhone11","This was my second try  at AirPods Pro. I’ve returned both and will stick with my Jabras. I have an iPhone 11 and even after literally hours on the phone with Apple troubleshooting, etc.,pairing was very intermittent leading to terrible frustration and disappointment.  Unless Amazon is tricking me with generic fakes, my experience with AirPods has been a joke. Hours and hours wasted watching videos, on phone with Apple, etc. can’t recommend these at all, even with an iPhone.","04 Jul 2020","Style: AirPods","","Verified Purchase","Alyce","1.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_3?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=3"
"Not worth the money","I walk a lot, after only two hours use the battery level went from 100% to 11%.  Sent them back. I bought them thru the Apple Store.  One positive thing is that my credit card was issued a refund very promptly.","04 Jul 2020","Style: AirPods","","","Hollis Carter","2.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_3?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=3"
"Great stuff","My son loves them","04 Jul 2020","Style: AirPods","","Verified Purchase","Samantha","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_4?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=4"
"Very disappointing","I want to like these so bad. They fall out of my ears all the time. I keep having to push them back in and when I do, I accidentally disconnect the call. They should be able to improve battery life for the price of these. I had to purchase the wireless beats pro because they wrap around your ear and also have a 9-hour battery life. Air pods = disappointing.","04 Jul 2020","Style: AirPods","","Verified Purchase","Debra","3.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_4?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=4"
"Yes, the airpod pros are that good","I've using the airpod pros for about 8 months and the stated 'pros' are true. However, 4 stars instead of 5 because of poor windows PC compatibility (I got the sound to work in 'stereo' mode but not the mic).","04 Jul 2020","Style: AirPods","","Verified Purchase","CK2","4.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_4?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=4"
"GREAT!","Gone through several brands of wireless earbuds, and these Apple AirPods Pro are by far superior! It sounds great while speaking on the phone. They sound amazing and great bass.","04 Jul 2020","Style: AirPods","","Verified Purchase","Eri","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_4?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=4"
"Great gift!","I got these for my husband on his birthday and he instantly loved them. He had the previous AirPods , and it was kind of night and day! I never was interested in AirPods personally but after trying these, I wanted some of my own...so he got me some for my birthday hahaha!","04 Jul 2020","Style: AirPods","","Verified Purchase","Andre & Sofia","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_4?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=4"
"Excellent Apple product","My wife loves these.  the noise cancellation is crazy good.  The question is , is it worth the upgrade from the regular Airpods to the Pro ?  I would say so.  We have both and these work extremely well.","04 Jul 2020","Style: AirPods","","Verified Purchase","Rachel","5.0","Apple AirPods Pro","https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/product-reviews/B07ZPC9QD4/ref=cm_cr_getr_d_paging_btm_next_4?ref_=s9_apbd_otopr_hd_bw_b2Y4ZnX&pf_rd_r=VMPMPB2ZGVBH80EDBFN1&pf_rd_p=f8a4773f-1e2c-5333-86b4-bb3f5fc870f6&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&pf_rd_i=2335752011&th=1&sortBy=recent&pageNumber=4"
