rating,reviewer,product,reviewText
4,Laresa,Apple AirPods Pro,e ear hole sound great noise cancelation could use improvement right earphone drains battery faster bit difficulty connecting phone put ear sometimes put back case take connect properly flaws overall good purchase someone doesnt want deal wires good needs improvement
3,Lydia Lunsford,Apple AirPods Pro,computers mic clear made voice somewhat gravely dont stay ears efficiently hopedi definitely wont use hiit classes im using noise cancellation major fail yes battery life amazing im sitting listening music yes theyre great old headphones fraction price expense mediocrity
3,Valarie,Apple AirPods Pro,love concept noise cancellation little scary cant hear nothing utilize feature sound whatever listening point amount cost expect pods stay place tried three sizes offered neither worked either small large medium secure enough love airpods dont fit ear
1,Amazon Customer,Apple AirPods Pro,great device works fantastically well gets 1 star way charge thing box assume apple device plug price come charging solution box cable plug another product charging solution box
1,Tom,Apple AirPods Pro,right headphone doesnt work 4 months use 1 hour daily dealing apple support online im extremely disappointed apparently case charging properly needs go back service price send replacement great product working apple support slow stores hassle right headphone doesnt work 4 months use 1 hour daily 
1,Rick Rogers,Apple AirPods Pro,amazon allow replace item apple sell expensive item break 3 months purchase way repair replace option im sure amazon allow return per policy due apple willing repair replace item ware would want happen another person left ear piece stooped working less 3 months purchase
4,Emily,Apple AirPods Pro,sound quality noise cancellation work great smallest size small ears watch small ears uncomfortable first gen airpods battery life slightly less since seals entire ear hole hear every sound body louder chewing breathing taking steps worth price
1,Amazon Customer,Apple AirPods Pro,e headphones price truly value value sound quality 50 said maybe worth 100 guess could maybe stretch 150 biggest tin foil overall ill sure returning extremely disappointed continue search something replace large ugly cumbersome bose sound sports awful sound 250 extremely poor noise cancellation
3,Levi H.,Apple AirPods Pro,saved money several months buy headphones treated like royalty amazing sudden left airpod quit working nothing try seems work hoping apple support help wise lost 250 headphones dont work worked great first 3 months left airpod quit working
1,Haley,Apple AirPods Pro,staticky noise clear dont recommend airpods mine working correctly think got defective pair worth price
3,L. Brown,Apple AirPods Pro, much uninterrupted workflow even worse low battery alert tone super loud painful startling say least ive checked every forum tried suggestionsthere way fix issue airpods alert volume stuck super loud unless fix update doubtful theyll since response forums pretty nonexistent poor battery life alert sounds bust eardrums
4,Amazon Customer,Apple AirPods Pro, fairly high however airpods continually fall ears regardless adjustments battery life surprisingly short although might issue expectations actual battery life bluetooth connectability good apple products noisecancelling reasonable price high product provides opinion didnt live expectations
2,Michael Cain,Apple AirPods Pro,n apple watch especially audible app audio apps freeze phone apps song play ten seconds drop happens airpods pro doesnt happen nice bose doesnt happen budget workout headphones odd common problem based upon number people complaining lots good things one horrible thing
